Product,Price,Date
Data Scientist Shirt,16.99,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
Data Scientist Shirt,16.99,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
Data Scientist Shirt,16.99,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
,,2023-07-14
